"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Elliston Avenue Highbury SA 5089",375000,2007-12-27,844,160," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Freshford Avenue Highbury SA 5089",760000,2009-12-16,951,385," 4 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,3,2,2,1
"Freshford Avenue Highbury SA 5089",542000,2007-09-13,814,330," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Freshford Avenue Highbury SA 5089",375000,2011-07-18,911,322," 4 Beds, 3 Baths, 2 Car Spaces",4,3,2,0,0
"Gail Court Highbury SA 5089",490000,2009-12-17,649,172," 3 Beds, 2 Baths, 1 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,1,2,1
"Gallery Road Highbury SA 5089",437000,2008-04-18,732,173," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Gallery Road Highbury SA 5089",640000,2011-04-01,350,283," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Gallery Road Highbury SA 5089",505000,2010-01-05,658,193," 4 Beds, 2 Baths, 3 Car Spaces, 1 Ensuites",4,2,3,0,1
"Garden Court Highbury SA 5089",460000,2009-12-21,629,220," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Garden Court Highbury SA 5089",476000,2009-10-30,683,199," 5 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,2,2,2,1
"Garnet Court Highbury SA 5089",410000,2008-01-03,737,187," 5 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,2,2,2,1
"Gaybas Court Highbury SA 5089",520043,2011-05-05,1036,256," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Halls Road Highbury SA 5089",525000,2011-12-05,1293,200," 4 Beds, 2 Baths, 2 Car Spaces, 5 Lock Up Garages, 1 Ensuites",4,2,2,5,1
"Harold Street Highbury SA 5089",355000,2008-10-20,709,118," 3 Beds, 1 Baths, 4 Car Spaces, 1 Lock Up Garages",3,1,4,1,0
"Harold Street Highbury SA 5089",410000,2010-09-23,316,140," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,1,1,1
"Harold Street Highbury SA 5089",354000,2011-05-13,688,134," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Harold Street Highbury SA 5089",295000,2007-09-28,707,117," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Harold Street Highbury SA 5089",285000,2007-03-23,722,116," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Harold Street Highbury SA 5089",357500,2012-08-23,724,150," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Harold Street Highbury SA 5089",290000,2011-09-29,726,105," 3 Beds, 1 Baths, 4 Car Spaces, 1 Lock Up Garages",3,1,4,1,0
"Highbury Drive Highbury SA 5089",412000,2012-03-14,762,169," 4 Beds, 1 Baths, 2 Car Spaces",4,1,2,0,0
"Highbury Drive Highbury SA 5089",3e+05,2012-04-11,732,105," 3 Beds, 1 Baths, 3 Car Spaces, 2 Lock Up Garages",3,1,3,2,0
"Highbury Drive Highbury SA 5089",4e+05,2009-10-07,973,223," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Highbury Drive Highbury SA 5089",335000,2008-04-08,778,140," 3 Beds, 1 Baths",3,1,0,0,0
"Highbury Drive Highbury SA 5089",391000,2010-04-27,990,137," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Hillside Avenue Highbury SA 5089",348000,2010-07-21,745,123," 3 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",3,1,1,2,0
"Hillside Avenue Highbury SA 5089",485000,2011-01-12,854,185," 3 Beds, 1 Baths, 3 Car Spaces, 3 Lock Up Garages, 1 Ensuites",3,1,3,3,1
"Hillside Avenue Highbury SA 5089",460000,2007-03-05,686,220," 3 Beds, 2 Baths, 1 Lock Up Garages",3,2,0,1,0
"Hillside Avenue Highbury SA 5089",550000,2011-01-20,1480,187," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Hillside Avenue Highbury SA 5089",385250,2008-09-02,694,134," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Hillside Avenue Highbury SA 5089",490000,2012-03-29,658,197," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"Hillside Avenue Highbury SA 5089",462500,2011-12-20,375,172," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Historic Drive Highbury SA 5089",906000,2007-09-14,1239,477," 4 Beds, 2 Baths, 2 Car Spaces, 3 Lock Up Garages, 1 Ensuites",4,2,2,3,1
"Historic Drive Highbury SA 5089",438000,2008-03-12,1060,125," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Historic Drive Highbury SA 5089",830000,2010-08-16,754,323," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Historic Drive Highbury SA 5089",560000,2007-09-24,651,278," 3 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,3,2,2,1
"Historic Drive Highbury SA 5089",415000,2007-12-04,691,175," 3 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",3,2,1,0,1
"Historic Drive Highbury SA 5089",510000,2012-06-29,651,165," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Historic Drive Highbury SA 5089",354000,2009-10-08,605,290," 5 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,3,2,2,1
"Historic Drive Highbury SA 5089",770000,2007-12-07,854,305," 4 Beds, 3 Baths, 3 Car Spaces, 2 Ensuites",4,3,3,0,2
"Historic Drive Highbury SA 5089",495000,2007-05-10,762,239," 3 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,2,1,1
"Historic Drive Highbury SA 5089",490000,2007-07-09,742,197," 4 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",4,2,0,2,1
"Historic Drive Highbury SA 5089",85791,2010-03-10,778,233," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Historic Drive Highbury SA 5089",755000,2011-11-04,776,307," 4 Beds, 2 Baths, 3 Car Spaces, 3 Lock Up Garages, 1 Ensuites",4,2,3,3,1
"Janet Court Highbury SA 5089",390000,2012-10-31,839,124," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Janet Court Highbury SA 5089",206000,2007-12-06,602,127," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Janet Court Highbury SA 5089",410000,2012-08-30,796,156," 3 Beds, 2 Baths, 3 Car Spaces, 1 Ensuites",3,2,3,0,1
"Jet Court Highbury SA 5089",410000,2012-06-25,623,110," 3 Beds, 1 Baths, 1 Car Spaces, 1 Ensuites",3,1,1,0,1
"Jones Court Highbury SA 5089",480000,2008-04-15,1148,150," 3 Beds, 2 Baths, 3 Car Spaces, 5 Lock Up Garages, 1 Ensuites",3,2,3,5,1
"Josephine Street Highbury SA 5089",321000,2008-02-26,744,123," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Kent Road Highbury SA 5089",340000,2008-11-27,710,160," 4 Beds, 2 Baths, 3 Lock Up Garages",4,2,0,3,0
"Kinnaird Crescent Highbury SA 5089",425000,2008-10-21,662,155," 4 Beds, 2 Baths, 3 Car Spaces, 3 Lock Up Garages, 1 Ensuites",4,2,3,3,1
"Kinnaird Crescent Highbury SA 5089",415000,2010-07-22,783,189," 4 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",4,1,1,1,0
"Kismet Avenue Highbury SA 5089",470000,2010-04-09,764,174," 3 Beds, 2 Baths, 1 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,1,2,1
"Konos Place Highbury SA 5089",6e+05,2011-04-13,808,210," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Lake View Crescent Highbury SA 5089",320000,2009-07-30,788,88," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Lake View Crescent Highbury SA 5089",475000,2009-09-23,752,178," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Lake View Crescent Highbury SA 5089",430000,2010-10-29,1254,124," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lake View Crescent Highbury SA 5089",270000,2007-05-25,992,149," 3 Beds, 1 Baths",3,1,0,0,0
"Lake View Crescent Highbury SA 5089",330000,2012-03-14,627,124," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lake View Crescent Highbury SA 5089",485000,2010-03-29,876,198," 4 Beds, 3 Baths, 1 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,3,1,2,1
"Lake View Crescent Highbury SA 5089",358000,2008-01-25,781,147," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Lake View Crescent Highbury SA 5089",460000,2011-01-12,1036,235," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",3,2,2,2,0
"Lake View Crescent Highbury SA 5089",417000,2009-07-10,1052,114," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Lake View Crescent Highbury SA 5089",255000,2007-09-14,675,106," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lake View Crescent Highbury SA 5089",395000,2012-04-17,682,148," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Lake View Crescent Highbury SA 5089",350000,2009-11-19,723,173," 3 Beds, 2 Baths",3,2,0,0,0
"Lake View Crescent Highbury SA 5089",325000,2011-03-09,742,118," 3 Beds, 1 Baths, 2 Car Spaces, 3 Lock Up Garages",3,1,2,3,0
"Landscape Crescent Highbury SA 5089",450000,2011-01-07,878,152," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Landscape Crescent Highbury SA 5089",5e+05,2009-10-30,728,180," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Landscape Crescent Highbury SA 5089",490000,2007-09-27,756,241," 4 Beds, 1 Baths, 1 Ensuites",4,1,0,0,1
"Landscape Crescent Highbury SA 5089",387500,2012-10-23,709,153," 3 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",3,2,1,0,1
"Landscape Crescent Highbury SA 5089",396000,2012-03-19,1521,156," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",4,2,2,1,0
"Landscape Crescent Highbury SA 5089",370000,2008-07-10,655,107," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Landscape Crescent Highbury SA 5089",590000,2009-09-25,1083,406," 4 Beds, 2 Baths, 5 Car Spaces, 5 Lock Up Garages, 1 Ensuites",4,2,5,5,1
"Lang Street Highbury SA 5089",3e+05,2007-04-19,960,130," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Lang Street Highbury SA 5089",295000,2010-09-23,250,163," 4 Beds, 2 Baths, 1 Car Spaces",4,2,1,0,0
"Larsen Court Highbury SA 5089",660000,2012-08-09,803,289," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Larsen Court Highbury SA 5089",728000,2010-07-01,1039,248," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Lenbar Court Highbury SA 5089",455000,2012-08-02,651,195," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Lenbar Court Highbury SA 5089",482500,2010-11-01,843,210," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Leonard Street Highbury SA 5089",439000,2009-03-29,715,253," 4 Beds, 1 Baths, 1 Lock Up Garages, 1 Ensuites",4,1,0,1,1
"Linden Road Highbury SA 5089",350000,2007-02-27,800,184," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Lindsay Street Highbury SA 5089",365000,2009-09-01,759,158," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,2,1,1
"Lindsay Street Highbury SA 5089",378000,2010-12-06,738,137," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Lindsay Street Highbury SA 5089",370000,2011-06-24,669,132," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lindsay Street Highbury SA 5089",589000,2012-09-12,386,106," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Linear Park Drive Highbury SA 5089",645000,2011-05-06,717,286," 5 Beds, 3 Baths, 1 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,3,1,2,1
"Lovelock Street Highbury SA 5089",1e+05,2011-12-28,774,160," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Lovelock Street Highbury SA 5089",250000,2009-03-30,727,102," 3 Beds, 1 Baths, 4 Car Spaces, 4 Lock Up Garages",3,1,4,4,0
"Lovelock Street Highbury SA 5089",351000,2008-01-10,1125,118," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",4,2,2,1,0
"Lovelock Street Highbury SA 5089",410000,2011-06-16,702,164," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Lovelock Street Highbury SA 5089",4e+05,2010-07-23,870,120," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lovelock Street Highbury SA 5089",323000,2009-10-14,714,125," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lovelock Street Highbury SA 5089",290500,2007-06-01,708,147," 3 Beds, 1 Baths, 3 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,3,1,1
"Lower North East Road Highbury SA 5089",360000,2011-05-23,1059,164," 3 Beds, 2 Baths, 1 Car Spaces, 2 Lock Up Garages",3,2,1,2,0
"Lower North East Road Highbury SA 5089",435000,2012-10-03,1168,212," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,2,1,1
"Lower North East Road Highbury SA 5089",345000,2011-04-29,764,167," 3 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,2,1,1
"Lower North East Road Highbury SA 5089",425000,2012-04-04,563,221," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Lower North East Road Highbury SA 5089",386000,2009-10-14,820,134," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Lower North East Road Highbury SA 5089",350000,2008-01-11,753,141," 4 Beds, 2 Baths, 3 Lock Up Garages, 1 Ensuites",4,2,0,3,1
"Lower North East Road Highbury SA 5089",3e+05,2012-12-19,750,123," 3 Beds, 1 Baths, 3 Car Spaces, 2 Lock Up Garages",3,1,3,2,0
"Lower North East Road Highbury SA 5089",310000,2012-12-06,832,126,"",0,0,0,0,0
"Lower North East Road Highbury SA 5089",436000,2010-05-17,710,181," 3 Beds, 2 Baths, 2 Car Spaces, 4 Lock Up Garages, 1 Ensuites",3,2,2,4,1
"Lower North East Road Highbury SA 5089",3e+05,2012-12-07,740,184," 5 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",5,2,1,1,1
"Lower North East Road Highbury SA 5089",235000,2009-12-15,666,94," 2 Beds, 1 Baths, 3 Car Spaces",2,1,3,0,0
"Lower North East Road Highbury SA 5089",365000,2009-10-07,385,136," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lower North East Road Highbury SA 5089",350000,2011-06-22,853,112," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lower North East Road Highbury SA 5089",250000,2008-05-20,673,100," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Lower North East Road Highbury SA 5089",310000,2009-03-18,827,135," 4 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",4,1,1,1,0
"Lower North East Road Highbury SA 5089",280000,2008-04-23,669,80," 3 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",3,2,0,2,1
"Lower North East Road Highbury SA 5089",480000,2011-05-30,3030,105," 4 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",4,1,2,2,0
"Lower North East Road Highbury SA 5089",292000,2011-03-07,575,84," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lower North East Road Highbury SA 5089",310000,2011-11-23,838,115," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Lower North East Road Highbury SA 5089",850000,2010-08-12,2568,320," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Lower North East Road Highbury SA 5089",295000,2012-12-07,579,98," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,2,1,1
"Lower North East Road Highbury SA 5089",311000,2010-12-21,607,101," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Lower North East Road Highbury SA 5089",220000,2007-02-20,800,64,"",0,0,0,0,0
"Lower North East Road Highbury SA 5089",395000,2009-12-24,702,163," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"Lower North East Road Highbury SA 5089",3e+05,2007-08-22,576,147," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
"Lower North East Road Highbury SA 5089",450000,2009-05-08,2242,320,"",0,0,0,0,0
"Lower North East Road Highbury SA 5089",3e+05,2007-06-28,593,130," 2 Beds, 1 Baths",2,1,0,0,0
"Lower North East Road Highbury SA 5089",450000,2007-06-28,1383,160," 3 Beds, 1 Baths",3,1,0,0,0
"Macdonnell Street Highbury SA 5089",290000,2007-04-03,826,125," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Macdonnell Street Highbury SA 5089",240000,2008-05-21,769,110," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Macdonnell Street Highbury SA 5089",349000,2009-02-26,868,117," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Macdonnell Street Highbury SA 5089",290000,2011-07-11,371,134," 3 Beds, 1 Baths",3,1,0,0,0
"Macdonnell Street Highbury SA 5089",280000,2009-07-07,372,134," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Macdonnell Street Highbury SA 5089",515000,2008-09-18,1060,239," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Macdonnell Street Highbury SA 5089",380000,2011-04-26,862,110," 4 Beds, 1 Baths, 1 Car Spaces, 2 Lock Up Garages",4,1,1,2,0
"Macdonnell Street Highbury SA 5089",355000,2008-01-10,765,134," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Macdonnell Street Highbury SA 5089",297500,2012-12-11,454,109," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Macdonnell Street Highbury SA 5089",290000,2007-01-10,938,147," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Macdonnell Street Highbury SA 5089",320000,2011-08-22,620,155,"",0,0,0,0,0
"Macdonnell Street Highbury SA 5089",420000,2012-03-29,918,135," 3 Beds, 1 Baths",3,1,0,0,0
"Macdonnell Street Highbury SA 5089",375000,2009-08-17,393,136," 3 Beds, 1 Baths, 2 Car Spaces, 1 Ensuites",3,1,2,0,1
"Mahogany Avenue Highbury SA 5089",329000,2009-08-12,772,83," 2 Beds, 1 Baths, 2 Car Spaces",2,1,2,0,0
