"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Ballville Street Prospect SA 5082",107000,2001-05-24,323,126," 3 Beds, 2 Baths, 1 Lock Up Garages, 1 Ensuites",3,2,0,1,1
"Ballville Street Prospect SA 5082",190000,2000-05-15,363,88," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Ballville Street Prospect SA 5082",205000,2000-01-13,498,157," 4 Beds, 1 Car Spaces",4,0,1,0,0
"Ballville Street Prospect SA 5082",145000,2002-12-20,622,98," 3 Beds, 1 Baths",3,1,0,0,0
"Ballville Street Prospect SA 5082",4e+05,2003-02-12,620,181," 4 Beds, 2 Baths",4,2,0,0,0
"Barker Road Prospect SA 5082",180000,2003-03-05,646,123,"",0,0,0,0,0
"Barker Road Prospect SA 5082",337000,2001-03-26,1123,114," 4 Beds",4,0,0,0,0
"Barker Road Prospect SA 5082",6e+05,2002-07-07,1131,235," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",4,2,1,1,0
"Barker Road Prospect SA 5082",257950,2001-11-16,745,148," 3 Beds, 2 Baths",3,2,0,0,0
"Beatrice Street Prospect SA 5082",230000,2001-04-27,765,155," 4 Beds, 1 Baths",4,1,0,0,0
"Beatrice Street Prospect SA 5082",191000,2001-12-20,532,137," 3 Beds, 1 Baths",3,1,0,0,0
"Beatrice Street Prospect SA 5082",401000,2003-12-18,766,152," 4 Beds, 1 Baths, 1 Car Spaces",4,1,1,0,0
"Beatrice Street Prospect SA 5082",339000,2003-11-11,618,118," 3 Beds",3,0,0,0,0
"Beatrice Street Prospect SA 5082",247000,2000-06-21,767,186,"",0,0,0,0,0
"Beatrice Street Prospect SA 5082",193000,2000-05-10,767,126," 3 Beds, 1 Baths, 3 Car Spaces, 1 Lock Up Garages",3,1,3,1,0
"Beatrice Street Prospect SA 5082",210000,2001-12-18,532,110," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",3,2,1,1,0
"Beatrice Street Prospect SA 5082",180000,2000-03-10,618,119," 4 Beds, 2 Baths",4,2,0,0,0
