"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Shelton Drive Athelstone SA 5076",170000,2003-05-15,891,108," 3 Beds, 1 Baths",3,1,0,0,0
"Shelton Drive Athelstone SA 5076",350000,2002-09-05,628,280," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Shelton Drive Athelstone SA 5076",730000,2004-04-23,595,348," 5 Beds, 3 Baths, 2 Car Spaces",5,3,2,0,0
"Shelton Drive Athelstone SA 5076",410000,2005-09-02,828,183," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Sheoak Drive Athelstone SA 5076",146000,2001-01-31,705,126," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Sheoak Drive Athelstone SA 5076",175000,2001-04-05,837,130,"",0,0,0,0,0
"Sheoak Drive Athelstone SA 5076",170000,2001-11-16,684,188,"",0,0,0,0,0
"Sheoak Drive Athelstone SA 5076",247000,2001-11-30,797,208," 4 Beds, 2 Car Spaces, 1 Ensuites",4,0,2,0,1
"Sheoak Drive Athelstone SA 5076",250000,2002-08-15,714,254," 4 Beds, 2 Lock Up Garages, 1 Ensuites",4,0,0,2,1
"Sheoak Drive Athelstone SA 5076",340000,2005-08-26,676,158," 3 Beds, 1 Baths, 1 Ensuites",3,1,0,0,1
"Shepherdson Road Athelstone SA 5076",233000,2005-08-12,786,144," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Spartan Crescent Athelstone SA 5076",335000,2001-08-14,543,374," 4 Beds, 3 Baths, 2 Lock Up Garages",4,3,0,2,0
"Spartan Crescent Athelstone SA 5076",160000,2001-05-04,525,157," 4 Beds, 2 Baths, 2 Lock Up Garages",4,2,0,2,0
"Springfield Avenue Athelstone SA 5076",155000,2001-03-15,695,198," 3 Beds, 1 Baths, 2 Lock Up Garages",3,1,0,2,0
"Springfield Avenue Athelstone SA 5076",170000,2001-11-21,702,130," 3 Beds, 2 Lock Up Garages",3,0,0,2,0
"Stradbroke Road Athelstone SA 5076",90000,2001-05-16,411,87," 2 Beds, 1 Baths, 1 Car Spaces",2,1,1,0,0
"Stradbroke Road Athelstone SA 5076",213000,2001-07-18,390,172," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"Stradbroke Road Athelstone SA 5076",105000,2001-06-22,895,105," 1 Beds, 2 Baths, 1 Lock Up Garages",1,2,0,1,0
"Stradbroke Road Athelstone SA 5076",115000,2001-10-04,420,118," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Studley Drive Athelstone SA 5076",420000,2004-05-26,824,223," 4 Beds",4,0,0,0,0
"Studley Drive Athelstone SA 5076",450000,2003-06-24,799,307," 5 Beds, 2 Baths, 2 Lock Up Garages, 1 Ensuites",5,2,0,2,1
"Studley Drive Athelstone SA 5076",407500,2004-07-28,789,218," 3 Beds, 1 Baths, 1 Ensuites",3,1,0,0,1
"Sunhaven Avenue Athelstone SA 5076",180000,2001-10-22,748,103," 4 Beds, 2 Baths, 4 Lock Up Garages",4,2,0,4,0
"Sunhaven Avenue Athelstone SA 5076",125000,2001-05-31,734,108," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Sunset Strp Athelstone SA 5076",206000,2001-02-08,805,179," 1 Ensuites",0,0,0,0,1
"Sunset Strp Athelstone SA 5076",187500,2001-01-15,789,165,"",0,0,0,0,0
"Sunset Strp Athelstone SA 5076",275000,2005-05-03,786,131," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Sunset Strp Athelstone SA 5076",110000,2001-10-25,786,137," 3 Beds",3,0,0,0,0
"Syren Court Athelstone SA 5076",184500,2002-08-20,766,178," 3 Beds, 2 Baths, 1 Car Spaces, 1 Ensuites",3,2,1,0,1
