"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Barracks Road Hope Valley SA 5090",235000,2006-03-24,576,115," 3 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",3,1,2,2,0
"Barracks Road Hope Valley SA 5090",2e+05,2005-06-21,553,122," 3 Beds, 1 Baths, 3 Car Spaces, 1 Lock Up Garages",3,1,3,1,0
"Barracks Road Hope Valley SA 5090",127800,2002-06-28,599,126," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Barracks Road Hope Valley SA 5090",232100,2005-03-24,761,103," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Barracks Road Hope Valley SA 5090",215000,2002-09-25,1382,215," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"Barracks Road Hope Valley SA 5090",285000,2006-12-01,905,136," 3 Beds, 2 Lock Up Garages",3,0,0,2,0
"Barracks Road Hope Valley SA 5090",196000,2001-07-06,2077,200,"",0,0,0,0,0
"Barracks Road Hope Valley SA 5090",235000,2004-10-29,709,145," 3 Beds, 1 Baths",3,1,0,0,0
"Barracks Road Hope Valley SA 5090",170000,2003-06-24,706,163," 4 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,3,2,2,1
"Barracks Road Hope Valley SA 5090",187000,2002-11-29,1066,143," 4 Beds, 2 Lock Up Garages",4,0,0,2,0
"Bela Street Hope Valley SA 5090",130000,2001-09-12,892,114," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Berri Road Hope Valley SA 5090",205000,2005-04-08,749,98," 3 Beds, 1 Baths",3,1,0,0,0
"Berri Road Hope Valley SA 5090",128000,2003-03-12,740,98," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Berri Road Hope Valley SA 5090",87500,2000-10-13,726,98," 3 Beds",3,0,0,0,0
"Berri Road Hope Valley SA 5090",3e+05,2006-02-26,600,209," 4 Beds, 1 Baths",4,1,0,0,0
"Berri Road Hope Valley SA 5090",138000,2002-12-19,791,138," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Berri Road Hope Valley SA 5090",205000,2005-05-24,702,95," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",3,2,1,1,0
"Berri Road Hope Valley SA 5090",167000,2002-08-15,745,116," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Berri Road Hope Valley SA 5090",194000,2004-09-15,336,106," 2 Beds, 1 Baths, 1 Lock Up Garages",2,1,0,1,0
"Berri Road Hope Valley SA 5090",310000,2005-07-26,600,140," 4 Beds, 2 Baths, 1 Car Spaces",4,2,1,0,0
"Berri Road Hope Valley SA 5090",144600,2002-01-04,639,120," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Berri Road Hope Valley SA 5090",340000,2006-05-12,738,180," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Bonnie Court Hope Valley SA 5090",10000,2001-08-22,742,180,"",0,0,0,0,0
"Boronia Drive Hope Valley SA 5090",225000,2006-08-31,670,104," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Boronia Drive Hope Valley SA 5090",177500,2002-06-19,726,140," 3 Beds",3,0,0,0,0
"Boronia Drive Hope Valley SA 5090",170000,2002-06-21,741,114," 3 Beds, 2 Baths, 4 Car Spaces, 2 Lock Up Garages",3,2,4,2,0
"Boyd Court Hope Valley SA 5090",262000,2006-07-07,684,106," 3 Beds, 1 Baths, 3 Car Spaces, 1 Lock Up Garages",3,1,3,1,0
"Cadell Court Hope Valley SA 5090",87500,2002-10-23,1212,165,"",0,0,0,0,0
"Cadell Court Hope Valley SA 5090",130000,2003-05-07,752,101,"",0,0,0,0,0
"Canis Avenue Hope Valley SA 5090",96500,2000-06-27,711,111,"",0,0,0,0,0
"Canis Avenue Hope Valley SA 5090",170000,2003-08-11,689,132," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Canis Avenue Hope Valley SA 5090",198000,2003-04-29,702,124,"",0,0,0,0,0
"Canis Avenue Hope Valley SA 5090",170000,2003-02-27,705,123," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Canopus Avenue Hope Valley SA 5090",270000,2006-02-23,1143,179,"",0,0,0,0,0
"Canopus Avenue Hope Valley SA 5090",230000,2005-05-11,745,140," 3 Beds, 1 Baths",3,1,0,0,0
"Canopus Avenue Hope Valley SA 5090",252500,2006-03-24,959,114," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",3,1,2,1,0
"Canopus Avenue Hope Valley SA 5090",127500,2002-02-18,690,149," 3 Beds",3,0,0,0,0
"Canopus Avenue Hope Valley SA 5090",635000,2001-09-03,721,115,"",0,0,0,0,0
"Canopus Avenue Hope Valley SA 5090",112000,2001-05-01,726,118," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",3,2,1,1,0
"Canopus Avenue Hope Valley SA 5090",270000,2006-03-31,1040,111,"",0,0,0,0,0
"Canopus Avenue Hope Valley SA 5090",135000,2002-05-28,787,114," 4 Beds, 1 Baths, 6 Car Spaces",4,1,6,0,0
"Canopus Avenue Hope Valley SA 5090",208000,2006-11-03,702,107," 3 Beds, 1 Baths",3,1,0,0,0
"Carlsson Place Hope Valley SA 5090",165250,2001-09-14,832,127," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Carnelian Street Hope Valley SA 5090",315000,2006-01-10,590,136," 3 Beds",3,0,0,0,0
"Carnelian Street Hope Valley SA 5090",213000,2001-05-31,625,188," 3 Beds, 1 Ensuites",3,0,0,0,1
"Carnelian Street Hope Valley SA 5090",390000,2005-11-10,712,234," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Carnelian Street Hope Valley SA 5090",306000,2002-05-31,865,218," 4 Beds, 2 Lock Up Garages, 1 Ensuites",4,0,0,2,1
"Chifley Avenue Hope Valley SA 5090",178000,2003-03-26,727,118,"",0,0,0,0,0
"Christina Avenue Hope Valley SA 5090",258000,2006-09-15,588,106," 3 Beds, 2 Baths, 5 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,5,1,1
"Christina Avenue Hope Valley SA 5090",230000,2005-03-04,583,118," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Citrine Street Hope Valley SA 5090",112000,2000-10-05,589,109,"",0,0,0,0,0
"Citrine Street Hope Valley SA 5090",252000,2004-03-11,579,149," 4 Beds, 2 Baths, 3 Car Spaces",4,2,3,0,0
"Citrine Street Hope Valley SA 5090",145000,2002-11-11,590,119," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Citrine Street Hope Valley SA 5090",225000,2002-12-10,793,189," 4 Beds, 2 Baths, 3 Car Spaces, 1 Ensuites",4,2,3,0,1
"Crissoula Avenue Hope Valley SA 5090",30000,2003-04-03,767,111,"",0,0,0,0,0
"Crissoula Avenue Hope Valley SA 5090",215000,2006-08-09,385,80,"",0,0,0,0,0
"Crissoula Avenue Hope Valley SA 5090",256000,2005-04-01,762,141," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Crissoula Avenue Hope Valley SA 5090",230000,2006-03-17,690,111," 3 Beds, 1 Baths",3,1,0,0,0
